inventory_id,store_id,product_id,quantity_in_stock,last_restock_date,reorder_level
1,1,1,25,2022-10-15,10
2,1,5,42,2022-11-02,15
3,1,10,18,2022-09-30,8
4,1,15,5,2022-10-20,10
5,1,20,12,,15
6,2,2,0,2022-11-10,12
7,2,6,35,2022-10-05,15
8,2,11,28,2022-11-15,10
9,2,16,15,2022-09-25,
10,2,21,22,2022-10-30,20
11,3,3,18,2022-11-05,10
12,3,7,33,2022-10-12,15
13,3,12,0,2022-09-20,15
14,3,17,45,2022-11-18,10
15,3,22,27,,20
16,4,4,20,2022-10-25,10
17,4,8,38,2022-11-08,15
18,4,13,16,2022-09-15,10
19,4,18,29,2022-10-10,
20,4,23,14,2022-11-20,15
21,5,5,31,2022-10-18,10
22,5,9,24,2022-11-12,15
23,5,14,42,2022-09-28,10
24,5,19,10,2022-10-22,15
25,5,24,0,,10
26,6,1,27,2022-11-03,10
27,6,6,0,2022-10-08,15
28,6,11,35,2022-09-18,10
29,6,16,19,2022-11-14,
30,6,21,25,2022-10-28,20
31,7,2,32,2022-09-22,12
32,7,7,41,2022-11-09,15
33,7,12,17,2022-10-03,15
34,7,17,30,2022-09-14,
35,7,22,23,2022-11-25,20
36,8,3,36,2022-10-17,10
37,8,8,29,2022-09-24,15
38,8,13,43,2022-11-11,10
39,8,18,0,2022-10-06,15
40,8,23,21,,15
41,9,4,39,2022-09-16,10
42,9,9,0,2022-11-07,15
43,9,14,26,2022-10-14,10
44,9,19,34,2022-09-26,
45,9,24,15,2022-11-21,10
46,10,5,22,2022-10-11,10
47,10,10,40,2022-09-19,8
48,10,15,0,2022-11-16,10
49,10,20,33,2022-10-24,
50,10,25,20,2022-09-29,10
51,11,1,37,2022-11-13,10
52,11,6,28,2022-10-07,15
53,11,11,0,2022-09-21,10
54,11,16,44,2022-11-01,10
55,11,21,31,,20
56,12,2,18,2022-10-19,12
57,12,7,0,2022-09-27,15
58,12,12,25,2022-11-17,15
59,12,17,38,2022-10-09,10
60,12,22,17,,20
61,13,3,0,2022-09-23,10
62,13,8,30,2022-11-04,15
63,13,13,42,2022-10-13,10
64,13,18,19,2022-09-17,15
65,13,23,0,,15
66,14,4,27,2022-11-19,10
67,14,9,35,2022-10-04,15
68,14,14,0,2022-09-13,10
69,14,19,23,2022-11-06,15
70,14,24,41,,10
71,15,5,0,2022-10-16,10
72,15,10,22,2022-09-25,8
73,15,15,29,2022-11-22,10
74,15,20,0,2022-10-01,15
75,15,25,36,,10
