sale_id,date,store_id,customer_id,product_id,quantity,total,payment_method
1,2022-01-15,3,12,5,2,49.98,Credit Card
2,2022-01-16,1,5,10,1,49.99,credit card
3,2022-01-18,2,8,3,1,349.99,DEBIT CARD
4,2022-01-20,4,20,7,1,349.99,Cash
5,2022-01-22,5,3,15,1,1599.99,CC
6,2022-02-01,2,17,1,1,899.99,Visa
7,2022-02-03,7,25,12,2,259.98,PayPal
8,2022-02-05,9,14,20,1,599.99,Apple Pay
9,2022-02-08,10,6,4,1,1299.99,Debit
10,2022-02-10,3,19,9,1,179.99,Cash
11,2022-02-15,,22,2,1,799.99,Credit Card
12,2022-02-19,5,7,18,3,137.97,DC
13,2022-02-22,8,10,23,2,299.98,cash
14,2022-03-01,12,2,11,1,199.99,Credit Card
15,2022-03-05,15,16,6,2,120.48,Debit Card
16,2022-03-10,1,27,13,3,269.97,paypal
17,2022-03-15,3,9,27,1,499.99,ApplePay
18,2022-03-20,6,4,17,4,61.96,Cash
19,2022-03-25,9,23,21,1,299.99,Credit Card
20,2022-04-01,11,28,25,2,19.98,CREDIT CARD
21,2022-04-05,13,12,8,1,99.99,Debit Card
22,2022-04-10,2,5,19,1,139.99,PP
23,2022-04-15,4,15,14,3,59.97,Cash
24,2022-04-20,7,21,22,2,79.98,Credit
25,2022-04-25,10,3,16,1,329.99,GooglePay
26,2022-05-01,14,8,24,1,199.99,Credit Card
27,2022-05-05,1,18,28,1,129.99,debit card
28,2022-05-10,5,26,1,1,900.50,Cash
29,2022-05-15,9,11,7,1,349.99,PayPal
30,2022-05-20,3,24,9,2,359.98,Debit Card
31,,2,13,4,1,1299.99,Credit Card
32,2022-06-01,6,29,26,5,24.95,Cash
33,2022-06-05,8,1,5,3,67.47,
34,2022-06-10,11,6,22,1,39.99,Debit Card
35,2022-06-15,4,17,29,2,159.98,Credit Card
36,2022-06-20,7,9,10,2,98.98,Cash
37,2022-06-25,12,27,3,1,349.99,PayPal
38,2022-07-01,15,20,11,1,199.99,google pay
39,2022-07-05,3,16,30,2,499.98,Credit Card
40,2022-07-10,1,5,3,1,349.99,CASH
